contestant_id,celebrity_name,judge_total,p_mean,p_median,p_q025,p_q975,actual_eliminated,eval_week,season,week,judge_rank,fan_rank,sum_rank,k_actual_elim,predicted_eliminated,week_correct,predicted_elim_names,actual_elim_names,num_contestants
9,Tia Carrere,22.0,0.052756451380897,0.0382384727300697,0.0037985915794717,0.1911847400055738,False,True,2,2,5,5,10,1,False,True,Tatum O'Neal,Tatum O'Neal,9
0,Drew Lachey,27.0,0.2289116704271481,0.1894615001289266,0.026016709927984,0.6666455661546361,False,True,2,3,1,2,3,1,False,False,Master P,Giselle Fernandez,8
1,George Hamilton,22.0,0.084700150892063,0.0623610789715036,0.0043021943782013,0.2983107924050124,False,True,2,3,5,6,11,1,False,False,Master P,Giselle Fernandez,8
2,Giselle Fernandez,22.0,0.0397069529280385,0.0275427353379453,0.003410722623423,0.1517604445713342,True,True,2,3,5,8,13,1,False,False,Master P,Giselle Fernandez,8
3,Jerry Rice,19.0,0.1087893253571521,0.0767768544617537,0.0022580342695211,0.4020921157903225,False,True,2,3,7,5,12,1,False,False,Master P,Giselle Fernandez,8
5,Lisa Rinna,25.0,0.1331962186020488,0.0973178133138553,0.0152064446938536,0.4692129129536496,False,True,2,3,4,3,7,1,False,False,Master P,Giselle Fernandez,8
6,Master P,14.0,0.042251574064328,0.0268480008730342,0.0001121921427269,0.1575229039738887,False,True,2,3,8,7,15,1,True,False,Master P,Giselle Fernandez,8
7,Stacy Keibler,27.0,0.2328914992542544,0.1903501364279814,0.0244329732110573,0.6430229535184431,False,True,2,3,1,1,2,1,False,False,Master P,Giselle Fernandez,8
9,Tia Carrere,26.0,0.1295526084749667,0.1018459636616331,0.0121014807565209,0.4070809807833509,False,True,2,3,3,4,7,1,False,False,Master P,Giselle Fernandez,8
0,Drew Lachey,28.0,0.2250669624489591,0.1831232529428858,0.0245340618169394,0.6412815833727075,False,True,2,4,1,1,2,1,False,True,Master P,Master P,7
1,George Hamilton,21.0,0.085430284011789,0.0644789387082402,0.0047292927398854,0.3003359788997757,False,True,2,4,6,6,12,1,False,True,Master P,Master P,7
3,Jerry Rice,24.0,0.2233927899965727,0.1932290099825675,0.0190522711893432,0.5939837792691669,False,True,2,4,5,2,7,1,False,True,Master P,Master P,7
5,Lisa Rinna,26.0,0.1495284462271061,0.105475590755275,0.0184610096316345,0.529790410785987,False,True,2,4,2,4,6,1,False,True,Master P,Master P,7
6,Master P,8.0,0.0378671512945468,0.024024991841431,0.00010010861223,0.1514790022292796,True,True,2,4,7,7,14,1,True,True,Master P,Master P,7
7,Stacy Keibler,26.0,0.1756454091190287,0.1360729710622872,0.0172731531424698,0.5342872359378259,False,True,2,4,2,3,5,1,False,True,Master P,Master P,7
9,Tia Carrere,25.0,0.1030689569019973,0.0807212672137791,0.0096098974766463,0.3340950055549745,False,True,2,4,4,5,9,1,False,True,Master P,Master P,7
0,Drew Lachey,27.0,0.1930432541792776,0.1464443636202833,0.013517667194859,0.6397567264075048,False,True,2,5,2,2,4,1,False,True,Tia Carrere,Tia Carrere,6
1,George Hamilton,24.0,0.0826312888901822,0.055310067788164,0.0017100724489508,0.3070228497947716,False,True,2,5,4,5,9,1,False,True,Tia Carrere,Tia Carrere,6
3,Jerry Rice,23.0,0.1316118868658784,0.0921266425827911,0.0014064660086215,0.4910269804070457,False,True,2,5,5,3,8,1,False,True,Tia Carrere,Tia Carrere,6
5,Lisa Rinna,25.0,0.095273535018861,0.0641742162081934,0.0047312144003172,0.3818318677614983,False,True,2,5,3,4,7,1,False,True,Tia Carrere,Tia Carrere,6
7,Stacy Keibler,30.0,0.4615174297618859,0.4316541220020957,0.0485211795888575,0.9520359557748096,False,True,2,5,1,1,2,1,False,True,Tia Carrere,Tia Carrere,6
9,Tia Carrere,22.0,0.0359226052839147,0.0226650623146879,0.0004330093594401,0.1466461388420664,True,True,2,5,6,6,12,1,True,True,Tia Carrere,Tia Carrere,6
0,Drew Lachey,30.0,0.3281954353891634,0.2889196675263193,0.0395122983238916,0.778087565899417,False,True,2,6,1,2,3,1,False,True,George Hamilton,George Hamilton,5
1,George Hamilton,23.0,0.0663928197675644,0.0400017462958127,0.0009402673926093,0.2640434715457258,True,True,2,6,4,5,9,1,True,True,George Hamilton,George Hamilton,5
3,Jerry Rice,23.0,0.1327799812691868,0.0892733945626904,0.0017702471691011,0.4808310894668929,False,True,2,6,4,4,8,1,False,True,George Hamilton,George Hamilton,5
5,Lisa Rinna,27.0,0.1367103788043263,0.0966302315759098,0.0122796671125134,0.4823592763514764,False,True,2,6,3,3,6,1,False,True,George Hamilton,George Hamilton,5
7,Stacy Keibler,30.0,0.3359213847697589,0.2969103729516252,0.0355036740559277,0.8114928753267839,False,True,2,6,1,1,2,1,False,True,George Hamilton,George Hamilton,5
0,Drew Lachey,27.5,0.3249595462417068,0.2897645878692184,0.039398747807941,0.7782630356129934,False,True,2,7,1,2,3,1,False,False,Jerry Rice,Lisa Rinna,4
3,Jerry Rice,20.5,0.1293780884543665,0.0814360092638527,0.0010072539781747,0.5027028360080172,False,True,2,7,4,4,8,1,True,False,Jerry Rice,Lisa Rinna,4
5,Lisa Rinna,26.5,0.2145005147149833,0.1680811517428867,0.0266597883102609,0.6606590188064756,True,True,2,7,3,3,6,1,False,False,Jerry Rice,Lisa Rinna,4
